Class_Title,Avg GPA,Credits,Times,Semester
AST-A 100,3.3731164483260554,3.0,"7686 09:35A-10:50A TR nan,13430 02:20P-03:35P TR nan,29946 06:30P-07:45P MTWR nan,11599 ARR ARR Slavin S",1
AST-A 100,3.3731164483260554,3.0,"11342 02:20P-03:35P TR Maas Z,35413 ARR ARR Slavin S",0
AST-A 105,3.289863498483317,3.0,4424 ARR ARR Salim S,1
AST-A 105,3.289863498483317,3.0,"3733 ARR ARR Lugger P,4089 09:35A-10:50A TR Vesperini E,29930 ARR ARR Salim S",0
AST-A 115,3.254358974358975,3.0,12035 01:55P-02:45P MW Pilachowski C,1
AST-A 221,3.004977011494253,4.0,1025 09:00A-10:10A MWF Deliyannis C,1
BUS-F 307,3.122642857142857,3.0,"1134 11:10A-12:25P M Zhu J,11:10A-12:25P F Zhu J,1135 12:45P-02:00P M Zhu J,12:45P-02:00P F Zhu J,33881 11:10A-12:25P W Zhu J,11:10A-12:25P F Zhu J,33882 12:45P-02:00P W Zhu J,12:45P-02:00P F Zhu J",1
BUS-F 307,3.122642857142857,3.0,"1402 02:20P-03:35P T Zhu J,02:20P-03:35P R Zhu J,9978 12:45P-02:00P T Zhu J,12:45P-02:00P R Zhu J,4402 11:10A-12:25P T Zhu J,11:10A-12:25P R Zhu J",0
BUS-J 375,3.5499506604506608,3.0,"6532 09:35A-10:50A M Eibling D,09:35A-10:50A W Eibling D,6506 09:35A-10:50A M Leonard H,09:35A-10:50A W Leonard H,6509 11:10A-12:25P T Chin M,11:10A-12:25P R Chin M,6241 11:10A-12:25P T Bow B,11:10A-12:25P R Bow B,6510 02:20P-03:35P M Fairchild A,02:20P-03:35P W Fairchild A,6424 12:45P-02:00P T Bow B,12:45P-02:00P R Bow B,6678 08:00A-09:15A M Schlegel L,08:00A-09:15A W Schlegel L,6679 08:00A-09:15A M Wang S,08:00A-09:15A W Wang S,6941 12:45P-02:00P M Eibling D,12:45P-02:00P W Eibling D,6942 02:20P-03:35P M Nagelvoort S,02:20P-03:35P W Nagelvoort S,6945 08:00A-09:15A T Perius D,08:00A-09:15A R Perius D,8910 12:45P-02:00P M Nagelvoort S,12:45P-02:00P W Nagelvoort S,8909 12:45P-02:00P T Chin M,12:45P-02:00P R Chin M,8908 08:00A-09:15A T Corbin M,08:00A-09:15A R Corbin M",1
BUS-J 375,3.5499506604506608,3.0,"5696 09:35A-10:50A M Wilde D,09:35A-10:50A W Wilde D,5697 11:10A-12:25P M Chin M,11:10A-12:25P W Chin M,5698 12:45P-02:00P M Wilde D,12:45P-02:00P W Wilde D,5699 08:00A-09:15A M Wilde D,08:00A-09:15A W Wilde D,5700 02:20P-03:35P M Chin M,02:20P-03:35P W Chin M,5701 08:00A-09:15A T Eibling D,08:00A-09:15A R Eibling D,6147 11:10A-12:25P T DeShano M,11:10A-12:25P R DeShano M,6148 08:00A-09:15A M Hatton B,08:00A-09:15A W Hatton B,6149 11:10A-12:25P M Mmbaga N,11:10A-12:25P W Mmbaga N,6402 09:35A-10:50A T Eibling D,09:35A-10:50A R Eibling D,7754 12:45P-02:00P M Fairchild A,12:45P-02:00P W Fairchild A,7855 08:00A-09:15A T Perius D,08:00A-09:15A R Perius D,8790 02:20P-03:35P M Mmbaga N,02:20P-03:35P W Mmbaga N,9422 09:35A-10:50A T Carnes C,09:35A-10:50A R Carnes C,9425 12:45P-02:00P T DeShano M,12:45P-02:00P R DeShano M,9427 12:45P-02:00P T Bow B,12:45P-02:00P R Bow B,9583 09:35A-10:50A M Mmbaga N,09:35A-10:50A W Mmbaga N,11468 11:10A-12:25P T Carnes C,11:10A-12:25P R Carnes C",0
BUS-S 523,3.6609651162790695,1.5,"7851 01:10P-02:40P TR Perry A,11561 11:15A-12:45P TR Perry A",1
BUS-S 523,3.6609651162790695,1.5,"3775 09:20A-10:50A MW Newquist J,4913 11:15A-12:45P MW Newquist J,10645 03:05P-04:35P TR Perry A",0
BUS-J 306,3.423980456026059,3.0,"1151 11:10A-12:25P TR Nagelvoort S,5024 05:30P-06:45P MW Barnes B,14120 05:30P-06:45P TR Springer L,14121 03:55P-05:10P TR Springer L,29833 12:45P-02:00P TR Nagelvoort S",1
BUS-J 306,3.423980456026059,3.0,"5050 03:55P-05:10P TR Springer L,9582 05:30P-06:45P TR Corbin M,13242 05:30P-06:45P MW Barnes B",0
BUS-X 572,3.8347686956521736,1.5,6544 ARR ARR Kuratko D,1
BUS-A 100,3.154426529700759,1.0,"1103 08:00A-08:50A MW Seitz J,1104 09:10A-10:00A MW Seitz J,1105 10:25A-11:15A MW Seitz J,4483 12:45P-01:35P MW Seitz J,4484 11:35A-12:25P MW Seitz J,4485 01:55P-02:45P MW Seitz J,1106 08:00A-08:50A MW Seitz J,1107 09:10A-10:00A MW Seitz J,1108 10:25A-11:15A MW Seitz J,3625 12:45P-01:35P MW Seitz J,4486 11:35A-12:25P MW Seitz J,4487 01:55P-02:45P MW Seitz J",1
