"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"S108","4085SS1","","","AAAD","AAAD-A","298","14342","SPEC TPCS SOC&HIST FOR AAADS","Shand,Aimee Lauren","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AAAD","AAAD-A","389","3877","MOTOWN","Sykes,Charles Evans","40","48",""," 3.233"," 2.735","0.0","60.0","15.0","12.5","12.5","8","13","5","6","2","3","1","4","0","1","3","2","0","0","2","3","2","0","1","0","0","0","0","0","07-11-2008"
"S108","4085SS1","","","AAAD","AAAD-A","495","3900","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AAAD","AAAD-A","495","3906","INDIV RDGS AFRO-AMER STUDIES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AAAD","AAAD-A","590","13316","SPECIAL TOPICS AFRO-AMER STDS","Carter,Stephanie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AAAD","AAAD-A","669","13347","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AAAD","AAAD-A","669","3909","INDEP PROJ BLACK SOCIAL ISSUES","Grim,Valerie","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AADM","AADM-Y","564","12350","ECONOMICS & ADMIN OF ARTS ORGS","Rushton,Michael Johnstone","5","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","ABEH","ABEH-A","495","4770","ANIMAL BEHAVIOR INTERNSHIP","Demas,Gregory","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
"S108","4085SS1","","","AFRI","AFRI-A","651","13515","IND RESEARCH/DIRECTED READINGS","Frank-Wilson,Marion","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","07-11-2008"
