"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"FA08","4088","","","AAAD","AAAD-A","100","14125","AFRICAN AMERICAN DANCE COMPANY","Rosa,Iris","13","15",""," 4.000"," 3.217","7.7","100.0","0.0","0.0","0.0","2","10","3","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","110","14126","AFRICAN AMERCN CHORAL ENSEMBLE","McCutchen,Keith D.","16","21",""," 3.944"," 2.988","0.0","100.0","0.0","0.0","0.0","5","10","3","3","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","120","14127","SOUL REVUE","Williams Jr,Dennis N","11","13",""," 4.000"," 2.916","0.0","100.0","0.0","0.0","0.0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","141","14129","INTRO WRITNG & ST OF BL LIT 1","Drieling,Claudia Ingrid Hildegard","70","81",""," 2.737"," 2.782","0.0","27.1","37.1","22.9","7.1","15","2","6","11","11","12","3","6","7","3","2","3","0","4","4","7","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","150","14134","SURV CULTR OF BLACK AMERICANS","Berrey,Stephen A.","160","171",""," 3.085"," 2.825","3.1","33.1","48.1","15.0","3.1","12","0","22","31","29","31","17","13","7","4","2","3","0","1","3","8","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","199","28604","SPEC TPC ARTS&HUMANITIES AAADS","McElroy,Frederick L.","36","47",""," 3.011"," 2.612","14.6","30.6","47.2","19.4","0.0","12","0","4","7","4","9","4","6","0","1","0","0","0","1","4","6","1","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","199","29810","SPEC TPC ARTS&HUMANITIES AAADS","Thomas-Williams,Cierra Olivia","5","7","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","210","16500","BLACK WOMEN IN THE DIASPORA","McCluskey,Audrey T.","35","45",""," 2.666"," 2.686","5.3","17.1","42.9","34.3","0.0","12","0","4","2","3","6","6","6","6","0","0","0","0","2","3","7","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","221","28605","DANCE IN THE AFRICAN DIASPORA","Rosa,Iris","28","34",""," 3.054"," 2.724","6.7","57.1","17.9","10.7","7.1","8","5","8","3","0","5","0","1","1","1","0","0","2","2","2","4","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","249","14135","AFRICAN AMERICAN AUTOBIOGRAPHY","McCluskey Jr,John A.","24","29",""," 3.175"," 3.051","8.0","12.5","87.5","0.0","0.0","5","0","2","1","8","10","3","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","255","18603","THE BLACK CHURCH IN AMERICA","Stanfield,John H.","43","68",""," 3.130"," 2.754","3.9","34.9","51.2","9.3","0.0","27","7","0","8","7","15","0","3","1","0","0","0","0","2","8","17","0","0","0","0","0","0","0","0","01-23-2009"
"FA08","4088","","","AAAD","AAAD-A","264","16502","HIST SPORT&AFRO-AMERICAN EXPER","Wiggins Jr,William H.","157","165",""," 3.373"," 2.985","0.6","66.2","18.5","9.6","0.6","16","20","59","25","10","14","5","8","3","4","1","0","0","8","5","3","0","0","0","0","0","0","0","0","01-23-2009"
