Course Description,Num Students,Avp GPA,Session Description, Descriptor of what it means
AF AM DANCE COMPNY FOUNDATIONS,29,3.9140344827586206,0,Regular Academic Session
AF AM CHORAL ENSEMBL FOUNDATNS,52,3.5596153846153844,0,Regular Academic Session
ATKINS LLC FOUNDATIONAL COURSE,65,3.461723076923077,0,Regular Academic Session
SOUL REVUE FOUNDATIONS,33,3.9090303030303026,0,Regular Academic Session
SURV CULTR OF BLACK AMERICANS,201,3.4323781094527366,2.8,Regular Academic Session
JIM CROW AND APARTHEID,66,3.354242424242424,0,Regular Academic Session
STUDYING BLACKS OF NEW WORLD,26,3.158,3.3,Regular Academic Session
BLACK WOMEN IN THE DIASPORA,54,2.3539444444444446,6.7,Regular Academic Session
HISTORY OF BLACK DANCE,27,4.0,0,Intersession
BLACK WOMEN ARTISTS,53,3.1586037735849057,0,Regular Academic Session
THE BLACK CHURCH IN AMERICA,18,3.189,4.8,Regular Academic Session
HIST SPORT&AFRO-AMERICAN EXPER,216,3.5004999999999997,0,Regular Academic Session
SOCIOCLTRL PERSP-AFR AMER MUS,30,3.767,0,Regular Academic Session
SURVEY OF HIP HOP,774,3.49756330749354,0.6,Regular Academic Session
BLACK DANCE HISTORY,15,2.32,0,Eight Week - Second
VISUAL ARTS HARLEM RENAISSANCE,28,3.414,0,Regular Academic Session
SOUL REVUE ADV STU PRACT,6,4.0,0,Regular Academic Session
AF AM DANCE CO ADV STDIES PRAC,18,3.966666666666667,0,Regular Academic Session
AFRICAN-AMERICAN HISTORY I,64,2.883,8.6,Eight Week - Second
EARLY BLACK AMERICAN WRITING,25,3.48,7.7,Regular Academic Session
"BLACK COMM, LAW, & SOC CHANGE",17,3.347,21.1,Regular Academic Session
BLACK MIGRATION,55,3.0982000000000003,2.9,Regular Academic Session
MOTOWN,14,3.421,0,Regular Academic Session
ADV TPCS IN SOCIAL&HIST AAADS,61,2.0966721311475407,3.2,Eight Week - Second
CIV RHTS/BLACK POW MVMNT 54-74,13,2.215,0,Eight Week - Second
CROSS-CULTURAL COMMUNICATION,8,3.338,0,Regular Academic Session
THE CINEMA OF AFRICANA WOMEN,28,2.6,3.4,Regular Academic Session
CONTEMPORARY BLACK POETRY,36,3.2775,21.1,Regular Academic Session
"RACE AND GLOBAL CITY, PART I",8,3.963,66.7,Regular Academic Session
TOPICS IN ARTS ADMINISTRATION,33,3.866727272727273,60,Regular Academic Session
INTRO ARTS ADMIN & ORG BEHVIOR,49,3.710081632653061,65.2,Regular Academic Session
CURATING IN GALLERIES & MUSEUM,40,3.7524749999999996,56.5,Regular Academic Session
PERFORMING ARTS CENTER MGMT,37,3.883945945945946,62.5,Regular Academic Session
FINANCIAL MANAGEMENT FOR ARTS,25,3.51628,55.6,Regular Academic Session
CULTURAL PLANNING & URBAN DEV,37,3.4920810810810807,88.9,Regular Academic Session
LEGAL ISSUES IN THE ARTS,38,3.9055,80,Regular Academic Session
